label,sentences
joy,क्या आप एक क्षण रुक सकते हैं? मेरे पास एक और कॉल है. मैं उसे प्यार करता हूँ.
neutral,मैं वापस हूँ।
neutral,"तो, हम एक साथ मिलेंगे या क्या?"
neutral,"उम्, बिल्कुल. उम्, कैसे कल दोपहर के बारे में? क्या आप जानते हैं उम्, सेंट्रल पेर्क ग्राम में, कहते हैं, पांच-ish?"
neutral,"अच्छा है, तो मैं आप को देख लूंगा।"
joy,ठीक है. ठीक है. एक फोन है अंततः भुगतान किया गया है.
neutral,"हालांकि आप एक अच्छा बॉब प्रभाव करते हैं, मैं सोच रहा हूँ जब वह तुम्हें कल देखता है, वह शायद यह समझने के लिए जा रहा है, ""हे, तुम बॉब नहीं हो."""
neutral,मैं आशा करता हूं कि जब बोब प्रकट नहीं होगा तो वह अगले टेबल पर झिझकने वाले अजनबी के खुले हाथों में आराम की तलाश करेगा।
disgust,ऐ मेरे ख़ुदा तू तो यक़ीनी बदकार है
anger,"ठीक है, शुद्ध बुराई, सींग और अकेले. मैंने यह किया है"
anger,कोई भी नहीं!
anger,कोई बुकेट का सम्मान नहीं करता!
anger,आप नहीं मानेंगे जो लोग यहाँ डालते हैं!
anger,देखो!
anger,"ठीक है, क्या यह आप के लिए एक कूड़ादान की तरह लगता है?"
neutral,नहीं।
neutral,यह मेरी शादी है।
anger,"ठीक है, आप जानते हैं क्या? हम वास्तव में देर कर रहे हैं! चलो चलो! चलो चलो! चलो! चलो!"
neutral,ठीक है. आप करेंगे-आप इसे वीडियो पर देखेंगे जब हम वापस जाओगे.
joy,यहाँ तुम जाओ Phoebe! यहाँ तुम जाओ Phobo! Phewbedo! Phaybobo.
neutral,धन्यवाद।
joy,"ठीक है, चलो चलिए! बाय, फीब्स!"
joy,"बाय, फीब्स!"
joy,लंदन के बच्चे!
joy,"ओह, आप को एक अँगाड़ की जरूरत है? आप मुझे कुछ भी नहीं लाना है!"
neutral,Hey!
joy,अरे! तो एस्टेले ने कल मेरे लिए ऑडिशनों की एक गुच्छा तैयार की और मैं जल्दी ही मेरी स्वास्थ्य बीमा वापस मिल जाएगा.
disgust,"यह बहुत अच्छा है, लेकिन आप अभी शौचालय पर नहीं होना चाहिए?"
disgust,तुम्हें क्या हो गया है?
neutral,कुछ भी नहीं!
fear,"अच्छी तरह से, मैं-मैं अपने पेट में इस अंधापन दर्द था जब मैं पहले वजन उठा रहा था, तो मैं uh बाहर हो गया और uh, अब तक खड़े नहीं हो सका है."
neutral,लेकिन मुझे लगता है कि यह कोई गंभीर बात नहीं है.
surprise,यह हर्निया की तरह लगता है. आपको-आप-आप डॉक्टर के पास जाना है!
fear,"नहीं। <s> क्या देखो, यदि मुझे किसी चीज़ के लिए डॉक्टर के पास जाना है तो यह मेरे पेट से बाहर टपकने वाली चीज़ के लिए होगा।"
disgust,यह एक हर्निया है।
anger,मैं फिर से काम करने के लिए क्यों शुरू किया गया था? तुम 15 साल की धिक्कार!
joy,मैं आपका स्थान पसंद करता हूँ! यह आदमी कहाँ से है?
neutral,यह एक अठारहवीं सदी का कलकत्ता से भारतीय शिल्प है।
surprise,"अरे वा! तो, आप सिर्फ dinosaurs से अधिक हैं।"
neutral,बहुत अधिक।
neutral,"अच्छी तरह से, अच्छी तरह से सार देने के लिए, हम खेल रहे हैं, आप युवा लग रहे हैं।"
neutral,ठीक है
neutral,लेकिन यह पर्याप्त नहीं है. तो... तो... यहाँ मेरे फ्लैट का एक कुंजी है.
neutral,सचमुच।
neutral,आप यह बहुत तेजी से नहीं लगता है।
anger,बाहर जाओ!
neutral,"रोस, मैं एक मिनट के लिए आप से बात कर सकता हूँ?"
neutral,"हाँ, कृपया! तो, क्या हो रहा है?"
sadness,"Uh, अच्छी तरह से... जोय और मैं विच्छेद किया."
surprise,"ओह भगवान, क्या हुआ?"
sadness,"Joey एक महान आदमी है, लेकिन हम सिर्फ... इतना अलग है! मेरा मतलब है, आपके भाषण के दौरान वह होमो erectus पर हँसते रहे!"
anger,मैं जानता था कि वह वह है!
sadness,"वैसे भी मैं बस, uh, मुझे लगता है कि यह सर्वोत्तम के लिए है।"
neutral,"अरे, तुम ठीक हो?"
sadness,मुझे लगता है।
neutral,वहाँ हुम था... वहाँ एक और कारण था कि मैं यह सोचा था कि यह Joey के साथ इसे समाप्त करने के लिए समय था.
neutral,मैं समझने लगा कि मैं किसी और के लिए भावनाएं रख रहा हूँ।
neutral,"ठीक है गेलर. सम्मेलन के अंतिम दिन, आप जानते हैं कि क्या मुख्य व्याख्याता के लिए होता है।"
neutral,"ओह, प्रोफेसर क्लर्क हम एक तरह की बातचीत के बीच, यहाँ हैं।"
neutral,"हाँ, आप लोग बस बाद में पूल में उसे फेंक सकते हैं?"
joy,या हम आप दोनों में डाल सकते हैं
anger,"ठीक है, सज्जनो!"
anger,कृपया!
anger,क्या हम इस के लिए थोड़ा पुराना नहीं हैं?
neutral,"मेरा मतलब है, हम वैज्ञानिक हैं, सही?"
anger,हम अकादमिक हैं।
joy,और सबसे महत्वपूर्ण मैं... तुम हमें पहले पकड़ने के लिए होगा.
joy,"जाओ, जाओ, जाओ!"
joy,"जाओ, जाओ, जाओ!"
joy,"ओह हाँ, अब हर कोई इस टोपी के नीचे होना चाहता है!"
disgust,ओय!
surprise,इस रेत के साथ क्या है?
neutral,"ओह, हाँ, बोब ने कहा था कि बाढ़ की क्षति हो सकती है।"
neutral,"हाँ, या तो यह, या वह एक सचमुच बड़ा बिल्ली है।"
anger,"ठीक है, वहाँ अंधा आदमी को देखो? मैं उसके सिर में बाद मेंbash करने के लिए जा रहा हूँ."
joy,"ओह, मेरा बड़ा दृश्य आ रहा है. बड़ा दृश्य आ रहा है."
neutral,"अगर तुम कहते थे, ""Big lima bean, बबलिंग up."" क्या वह अंतर समझ सकता है?"
neutral,राच? तुम क्या कर रहे हो?
fear,"अरे, मैं सिर्फ देख नहीं सकता। यह बहुत डराता है!"
neutral,यह एक डायपर विज्ञापन है।
fear,"ओह हाँ अच्छी तरह से, आप मुझे जानते हैं, बच्चे, जिम्मेदारियाँ, आह!!!"
joy,पिज़ा डिलिवरी!
joy,मैं इसे प्राप्त करूँगा! मैं इसे प्राप्त करूँगा!
neutral,"Hey, आप कुछ खाने के लिए मिलना चाहते हैं या uh, आप देखना चाहते हैं कि हम इस गेंद को आगे और पीछे फेंक सकते हैं कितनी देर?"
neutral,"Uhh, गेंद बात."
neutral,हो?
joy,"හේ रॉस, क्या यह अच्छा नहीं होगा यदि हम बिना इसे छोड़े दो घंटे सीधे जा सकते हैं?"
neutral,"Uhh,"
joy,ठीक है!
fear,Uh-oh.
neutral,क्या?
sadness,मुझे पीना है. और रेशेल स्नानागार में है!
surprise,"आदमी, मैं नहीं सोचा था कि हम इसे कर रहे थे!"
fear,"मैं जानता हूँ! हाथ मत बदलें, ठीक है?"
neutral,Hey.
neutral,एरिन के साथ क्या हुआ?
joy,"ओह, अविश्वसनीय! हमारे पास सबसे अच्छा समय था!"
joy,"अरे!! ओह तो, आप नहीं हैं, आप अब हम पर पागल नहीं हैं?"
joy,नहीं!
joy,आप लोग बिल्कुल सही थे!
joy,यह पहली बार निकलने से बहुत बेहतर है।
neutral,तुम्हें पता है?
neutral,"यह बहुत असुविधाजनक था, हम वास्तव में चिंतित थे।"
neutral,क्या आप एक साथ नहीं सोते?
neutral,"हाँ, यह वास्तव में मुझे शांत करता है।"
joy,और!
joy,हमारे पास इतना साझी है!
joy,"वह सैंडविच पसंद करता है, खेल, हालांकि वह एक मेटfan है, अब कोई मुद्दा नहीं है लेकिन अगर हम कभी बच्चों के लिए थे, ठीक है कि एक है"
surprise,"ओह मेरे भगवान! आप बच्चों के बारे में बात कर रहे हैं सुनो. ओह मेरी Joey. ओह, कृपया मैं करने से पहले शादी न करें."
neutral,ठीक है.
surprise,वह ऐसा कैसे करता है?
neutral,मैं सार्वजनिक स्थान पर नहीं सो सकता।
joy,क्या आप उसे देखेंगे? वह बहुत शांत है।
surprise,ओह! क्या क्या क्या!...हाई.
neutral,"यह ठीक है, तुम्हें पता है, तुम सिर्फ फिर से नोक लगा।"
surprise,तुमसे क्या हो रहा है?
anger,मुझे कल रात नींद नहीं आई!
neutral,क्यों?
disgust,"मेरी दादी के पास एक नया दोस्त है, और वे दोनों बिस्तर में एक तरह की असुरक्षित हैं।"
neutral,"ओह, और बहरे।"
neutral,"तो वे लगातार, जैसे, एक-दूसरे को सुनिश्चित करने के लिए है कि वे एक अच्छा समय ले रहे हैं।"
disgust,तुम्हें नहीं मालूम कि वे कितना ऊँचे हैं!
neutral,"अच्छा, अगर आप चाहते हैं, तो आप रात को रचेल और मेरे साथ रह सकते हैं."
joy,धन्यवाद.
disgust,ईव! यह क्या है? कुछ विस्फोट!
neutral,"यह सिर्फ उसके पानी टूट रहा है. शांत हो जाओ, आप कर सकते हैं?"
surprise,"जल विच्छेदन, क्या आप का मतलब है? क्या है, जल विच्छेदन?"
neutral,"सांस ले, सांस ले, सांस ले."
surprise,"क्या तुम पागल हो? मेरा मतलब है जोय, तुम्हें मार डालेगा, वह वास्तव में तुम्हें मार डालेगा।"
anger,ठीक है! आप नहीं लगता कि मैंने उस पर सोचा है?
surprise,तुम कैसे नहीं जानते कि कौन है?
joy,मेरा मतलब है कि अविश्वसनीय है।
neutral,"मेरा मतलब है, यह जिना था?"
neutral,जीना कौन है?
neutral,"काले, बड़े बालों के साथ हवाई जहाज के कंगन।"
neutral,"नहीं, नहीं, नहीं, यह दीना है।"
surprise,"आप देख रहे हैं कि आप नहीं कह सकते कि कौन कौन है जो भी, dwha!!"
neutral,"मुझे नहीं मालूम, तुमने सोचा था कि शनिवार को आप मिलेंगे यह मजाक है।"
neutral,"देखो प्यारा, मार्क फैशन में ठीक है, मुझे एक दोस्त होना पसंद है कि मैं इस बात के साथ साझा कर सकता है।"
neutral,आप लोग मेरे साथ किसी व्याख्यान में जाने के लिए कभी नहीं चाहते थे।
joy,प-हह! मैं तुम्हारे साथ जाना चाहता हूँ।
surprise,सचमुच?
neutral,"हाँ, हाय, मेरे पास कपड़े हैं, मैं उन्हें भी उठाता हूँ।"
neutral,"मेरा मतलब है, सभी के लिए आप जानते हैं कि मैं एक फैशन हो सकता है..... monger."
joy,"ठीक है. प्यारा, मैं आप मेरे साथ जाने के लिए चाहता हूँ. क्या?"
fear,"मैं क्या पहनना चाहिए, अब मैं सभी चिंतित हूँ।"
joy,": मैं जानता हूँ, हमने यह किया!! अरे, यह अविश्वसनीय था, हू!"
joy,"मैं जानता हूँ, यह अद्भुत था! मेरा मतलब है, हम पूरी तरह से nailed यह था, यह सुंदर था।"
joy,": धन्यवाद, सुनो, बहुत धन्यवाद Tribbiani,। ओ मेरे भगवान, समय पर देखो, मैं गेंद के लिए बस पकड़ने के लिए।"
joy,"ठीक है, ठीक है, खुश होना।"
neutral,: हाँ.
neutral,जब तक आप फिर फ़ॉक्सट्रॉट अभ्यास नहीं करना चाहते? या-या टैंगो?
neutral,": आह, धन्यवाद लेकिन नहीं. आप देख रहे हैं मैं-मैं सोचता हूँ मैं लड़कियों के साथ नृत्य करने के लिए तैयार हूँ."
neutral,उन्हें ट्रिगर ले जाओ।
neutral,": ठीक है. अरे, आह, आप आना चाहते हैं? मार्जी के एक girlfriend है।"
surprise,सचमुच?
neutral,": हाँ, आप उसके साथ बहुत अच्छा नृत्य कर सकते हैं, वह मेरे समान आकार है।"
neutral,"नहीं, मैं अच्छा हूँ।"
surprise,"ओह भगवान, यह इतना nerve wracking है! कैसे-कौन आप यह करते हैं?"
neutral,"खैर, दुर्भाग्य से, मैं कई कॉल वापस नहीं मिलता है तो"
surprise,क्या यह एक अच्छा संकेत है कि उन्होंने हमें ऑडिशन के बाद चारों ओर घूमने के लिए कहा है?
neutral,कौन जानता है?
neutral,"ठीक है, हम इसे रेमंड, बेन, Kyle, और Joey के लिए संकुचित कर दिया है. आप के बाकी, बहुत धन्यवाद."
joy,हाँ!! मैं यह जानता था!! बाइ-बाइ! बहुत देर! बाद में!
joy,ओह यह बहुत अच्छा है! मैं वास्तव में बेन के पिता खेलने के लिए मिल सकता है!
joy,हाँ!
neutral,"वास्तव में, यह नहीं हो सकता है।"
neutral,"हाँ, क्योंकि आप सब इतने भिन्न दिखते हैं, हम रेमंड और के Kyle के साथ बेन के साथ आप रख रहे हैं."
neutral,तो यह या तो आप दो या आप दो हो जाएगा।
sadness,"आदमी, यह एक तरह की अजीब हो जाएगा।"
neutral,"हाँ, यह है।"
neutral,"नहीं, हम अच्छे दोस्तों की तरह हो रहे हैं, इसलिए यह अजीब हो जाएगा."
sadness,"ठीक है, चलो, मैं जब तक कि मैं कुछ पुराना, कुछ नया, कुछ उधार लिया और कुछ नीला मिलता है, शादी नहीं कर सकता।"
joy,"ठीक है, ठीक है, ठीक है, ठीक है! ठीक है! ठीक है, यहाँ कुछ है, यहाँ कुछ नीला और नया है।"
anger,क्या तुम हँस रहे हो?
anger,"मैंने तीन बड़े आदमी को चोट पहुँचाई, मैंने एक आदमी को खूनी नाक दे दी-मैं इसका गर्व नहीं करता, लेकिन, मैं सचमुच हूँ।"
joy,"और यह सब तुम्हारे कारण है, अद्भुत, अद्भुत आप।"
fear,मुझे लगता है कि आपको कंकुंशन हो गया है.
joy,"नहीं, नहीं, मैं गंभीर हूँ. धन्यवाद."
fear,आप स्वागत है. मुझे क्षमा है. मैंने आप को दुख दिया था?
sadness,"यह दर्द की कीमत है. आप क्या जानते हैं, आप क्या जानते हैं? यह नहीं है."
surprise,वाow! कि माइक बात दिलचस्प थी! मैं नहीं जानता है क्या Phoebe और डेविड के साथ होने जा रहा है.
joy,"मैं करता हूँ! एक संकेत चाहता हूँ? हू? ""मैं करता हूँ"" ""मैं करता हूँ""."
neutral,"ठीक है, मैं महसूस कर रहा हूँ कि यह किसी तरह की शब्द खेल है, क्योंकि आप मुश्किल से नियंत्रित आनंद के साथ गुलाबी हैं।"
joy,दाऊद फ़ीबे को प्रस्तावना करने जा रहा है।
surprise,क्या? क्यों?
anger,"चंडलर, हमने इस बारे में बात की है।"
anger,आप लोगों को सलाह नहीं देना चाहिए!
anger,अब क्या तुम सिर्फ किसी प्रकार की अनुचित मजाक नहीं कर सकते थे?
neutral,मैं
anger,वे केवल कुछ सप्ताहों के लिए बाहर जा रहे हैं और Phoebe पूरी तरह से माइक पर लटकाया है!
anger,"वह कहेगी, ""नहीं"", दाऊद का दिल टूट जाएगा, इससे उन्हें ठीक होने के लिए बहुत मुश्किल होगा और फिर फ़ीबे अकेला हो जाएगा"
surprise,"आदमी, कि कुछ है"
neutral,"ओह, यह नहीं है जो आप चाहते हैं..."
neutral,"यह मेरे पिता, पॉल स्टीविन्स है. पिता, यह रोस गेलर है."
joy,आप पॉल से मिलना बहुत अच्छा है।
neutral,मैं अक्सर एलिजाबेथ के दोस्तों को पसंद करता हूँ कि वे मुझे श्री स्टीविन्स के रूप में संबोधित करें।
neutral,"बेशक, बेशक, श्री स्टीविन्स."
anger,"तो रोस, तुम्हारी क्या समस्या है?"
surprise,इह-वाह-मुझे क्षमा करें?
anger,आप अपनी उम्र के किसी लड़की को क्यों नहीं पा सकते?
fear,यह हास्यास्पद है. हं.... यह हास्यास्पद नहीं है.
neutral,"मैं देख सकता हूँ, मैं देख सकता हूँ।"
fear,"हं, लेकिन मैं सोचता हूँ अगर आप मुझे हं, एक मौका मैं कर सकता हूँ, मैं आपके मन बदल सकता हूँ।"
anger,ठीक है. मैं आपको मेरे विचार बदलने के लिए एक मौका देता हूँ. आप एक मिनट है.
surprise,पिताजी!
neutral,"ओह, यह अभी भी टीवी पर नहीं है।"
neutral,"ठीक है, तो यह अभी दीवार पर नहीं है।"
neutral,"ठीक है, ठीक है, मैं तुम्हें एक टेप ला दूँगा, हू?"
neutral,"तो हं, अब आप यहाँ मैट ल्यूर के वस्त्रों में से कोई भी है? शायद? सिर्फ उन है कि अभी तक साफ नहीं किया गया है?"
surprise,ओह!
neutral,"हाँ, मुझे यकीन है. और अचानक उसके हाथ अब समस्या नहीं थे."
surprise,क्या...?
neutral,"अरे, लड़के स्कॉउट वहां के नीचे छाउनी लगा सकते थे।"
surprise,"""ओओ,"" क्या?"
neutral,उमा थर्मन।
surprise,ओह!
surprise,अभिनेत्री!
neutral,धन्यवाद राच।
surprise,तो आप क्या कर रहे हैं?
joy,तुम उसे बताओ!
anger,"यह आपका नैतिक दायित्व है, एक मित्र के रूप में, एक महिला के रूप में, मैं यह एक महिलावादी मुद्दा है!"
anger,लड़के?
neutral,"ओह, हाँ, तुम उसे बताना होगा।"
neutral,Feminist मुद्दा. मैं वहाँ गया था!
fear,वह मुझे घृणा कर रही है।
neutral,"हाँ, अच्छी तरह से..."
fear,क्या तुम मुझसे शादी करोगे?
joy,यह बड़ी रात है! हम आप को शुभकामनाएं देना चाहते थे!
neutral,"हाँ, हाँ आपके पास रिंग है?"
neutral,"हाँ, ठीक यहाँ मेरे जेब में. फीब्स?"
surprise,ओह! ओह!
neutral,"ठीक है, अब आप लोग यहाँ से बाहर निकलेंगे? मैं यह एक आश्चर्य होना चाहता हूँ और वह जानने के लिए जा रहा है।"
neutral,हाँ-हाँ आप लोग. यहाँ से बाहर जाओ!
neutral,हो guys.
joy,तुम सुंदर हो।
joy,"ओह, धन्यवाद! क्या हो रहा है?"
neutral,हम सिर्फ वास्तव में... इस खैरात समारोह के बारे में बहुत उत्साहित हैं कि हम जाना है।
neutral,"ठीक है umm, रोस?"
neutral,"मैं-मैं वास्तव में गर्म हूँ, तो मैं अपने जूता उतारने के लिए जा रहा हूँ।"
neutral,"अब, मैं सिर्फ तुम्हें बता रहा हूँ कि यह है"
joy,हाँ! यह हास्यास्पद है!
neutral,मुझे खेद है. मैं कर चुका हूँ. मैं कर चुका हूँ.
neutral,"पता है, पिछले रात तुम्हारे लिए भी शर्मनाक थी."
neutral,"नहीं, वास्तव में नहीं। मेरा मतलब है कि तुम मुझे नंगे सैकड़ों बार देखा है।"
neutral,लेकिन यह मेरे भवन के बाकी के लिए एक पहला था.
neutral,"ठीक है. ठीक है, यह सच है! लेकिन तुम्हें पता है कि मैं बस कि आसानी से शर्मिंदा नहीं करता है."
surprise,क्या! आप पूरी तरह शर्मिंदा हो जाओ!
neutral,"नहीं, मैं नहीं हूँ! रोस, मैं सिर्फ तुम से एक अधिक सुरक्षित व्यक्ति हूँ लगता है।"
neutral,क्या ऐसा है?
disgust,अरे महिला! मैं तुम्हें कितना यह चाहता है परवाह नहीं करता! ठीक है! मैं हूँ
surprise,मुझे विश्वास नहीं हो सकता!
joy,मैंने किया!
joy,मैं एक साइकिल पर सवार था!
joy,मैंने कभी सोचा नहीं था कि मैं ऐसा कर सकता हूँ!
joy,धन्यवाद रॉस।
joy,"ओह हे, मुझे धन्यवाद नहीं है, अपने आप को धन्यवाद. आप एक है जो उसके भयों का सामना किया और अंत में उन पर विजय."
neutral,तुम दोनों मेरे साथ ऊपर होना चाहिए.
neutral,"मेरा मतलब है, आप दो-में हैं... मेरा मतलब है, मैं सिर्फ एक अच्छा है करने के लिए भाग्यशाली हूँ"
neutral,धन्यवाद आदमी.
neutral,मैं यहाँ कुछ जाँच करने के लिए जाना है।
sadness,क्या बच्चा है।
sadness,बेहश्त!
neutral,"ठीक है, हम यहाँ कई विकल्प हैं, आप पर प्रयास करने के लिए प्रारूपों की एक संख्या।"
joy,वाह! यह बहुत अच्छा लगता है!
joy,"हाँ! ठीक है, यह एक मशरूम कैप है. हं, यह एक bologna से बनाया है।"
disgust,और-और-और-और-और दाँत की चिड़िया?
anger,तुमने एक औरत को चुंबित किया!
neutral,इसे भी बुलाएँ!
neutral,"ठीक है, मैं कुछ पानी में इन पाने के लिए जा रहा हूँ।"
surprise,"प्रतीक्षा करो, तुमने इन लोगों के विवाह से उन को चुराया?"
neutral,"नहीं-नहीं, मैं उन्हें होटल लॉबी से ले गया था।"
anger,"हाँ, वे सोचते हैं कि वे मुझे कुछ दूषित फिल्म और Mashuga नाटों की एक बैग के लिए आरोपित कर सकते हैं, वे एक और विचार आ रहा है."
surprise,मेरा जूता!
surprise,मैं इस के लिए एक महीने के लिए देख रहा हूँ!
surprise,ओह भगवान्!
surprise,अल्लाह!
anger,खुशी है?! क्या मैं विक होना चाहिए है क्या है? खुशी है?
anger,"अच्छा, तुम मुझे क्यों नहीं बताओ कि तुम क्या होना चाहिए!"
surprise,है?
anger,क्योंकि मुझे यकीन है कि जहन्नुम यह पता नहीं कर सकता है!
anger,"मैं तुमसे बात करता हूँ और कुछ नहीं। """
anger,"तुम मेरी ओर देखते हो, और यह कुछ भी नहीं है।"
anger,कुछ भी नहीं।
joy,"स्वादिष्ट! मैं वास्तव में लगता हूँ कि आप लोगों की एक इतिहास है, यह-यह अच्छा है लगता है शुरू कर रहा हूँ।"
neutral,मुझे इस दृश्य के बारे में एक सवाल है।
neutral,हो?
disgust,"अच्छा, मैं नहीं समझता कि एड्रिएन विक्टर को क्यों आकर्षित करता है।"
neutral,"प्याज पकाना. सबसे पहले, वह अच्छा दिखता है."
neutral,मुझे लगता है कि मेरे चरित्र की जरूरत है कि उस से कुछ अधिक कारण।
neutral,"ओह, hey, कैसे इस एक के बारे में।"
anger,"अरे, स्क्रिप्ट में ऐसा कहा गया है!"
anger,"मैं नहीं जानता कि मेरा पात्र तुम्हें क्यों पसंद करता है या नहीं, मेरा मतलब है कि यह स्क्रिप्ट में यहाँ कहते हैं कि तुम एक बदचलन हो।"
anger,यह स्क्रिप्ट में नहीं कहता है।
anger,मेरा भी है!
anger,मैं नहीं कर सकता
anger,हाँ! तुम उसे टेप करने से पहले एक लड़की को बताना है. एक नया गलती.
neutral,तुम्हें पता है कि किस के पास एक महान वीडियो कैमरा है?
neutral,ग्रेग और जेनी?
neutral,क्या आप अभी भी उन्हें बुलाना चाहते हैं? मैं उन्हें बुलाना चाहता हूँ.
neutral,चलो उन्हें बुलाएँ।
joy,"हाँ, उनसे पूछो कि क्या उन्होंने अपने मित्रों को कोई समोनर लेकर आए हैं!"
neutral,हैलो? आठवीं स्ट्रीट डेली?
disgust,"Hey, Hang up! तुम सिर्फ उस जगह से बात कर भोजन जहरीला हो जाता है."
